A_Index;Ausbaustufe;Baujahr;Besonderheiten;EG_qm;Gesamtqual;Gesamtzustand;Grundstueck_qm;Kellerhoehe;Lage;QualInnenfarbe;Steigung;Umgebaut;Verkaufsjahr;Wohnflaeche_qm;Z_Verkaufspreis
91;1,5 Ebenen;1956;;121;Gut;Durchschnitt;1564;Durchschnitt;NeuBerlin_C;4;Keine/Kaum;1956;2006;212;134674
758;2 Ebenen;1955;;71;Durchschnitt;Durchschnitt;1033;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1955;2010;142;102769
1229;1,5 Ebenen;1954;;98;Schlecht;Schlecht;905;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1954;2005;129;64937
1479;1 Ebene;1965;;142;Gut;Gut;846;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;2008;2009;142;96751
565;2 Ebenen;1975;;58;Durchschnitt;Durchschnitt;173;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1975;2012;121;101462
2276;2 Ebenen;2004;;98;Gut;Durchschnitt;925;Gut;NeuBerlin_B;4;Keine/Kaum;2005;2009;210;159585
846;1,5 Ebenen;1941;;97;Durchschnitt;Durchschnitt;1866;Durchschnitt;NeuBerlin_A;3;Keine/Kaum;1993;2013;149;111600
912;2 Ebenen;1951;;103;Durchschnitt;Gut;782;Durchschnitt;NeuBerlin_A;2;Mittel;2005;2005;186;127051
1832;2 Ebenen;1928;;64;Durchschnitt;Gut;670;Durchschnitt;NeuBerlin_A;5;Keine/Kaum;1953;2012;127;87962
311;1 Ebene;1967;;132;Durchschnitt;Durchschnitt;1026;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;1967;2009;132;100366
1919;2 Ebenen;2009;;87;Gut;Durchschnitt;930;Gut;NeuBerlin_B;4;Keine/Kaum;2009;2007;167;135458
1106;1,5 Ebenen;1943;;87;Durchschnitt;Durchschnitt;995;Durchschnitt;NeuBerlin_C;1;Keine/Kaum;1953;2012;138;118443
1413;1 Ebene;2002;;124;Gut;Durchschnitt;1728;Gut;NeuBerlin_B;3;Mittel;2003;2007;124;156649
1154;2 Ebenen;1983;;66;Durchschnitt;Gut;199;Gut;NeuBerlin_B;2;Keine/Kaum;1983;2009;144;83963
815;2 Ebenen;1999;;104;Gut;Durchschnitt;998;Gut;NeuBerlin_A;2;Keine/Kaum;2000;2008;187;181442
1775;1 Ebene;1998;;161;Gut;Durchschnitt;810;Gut;NeuBerlin_A;3;Keine/Kaum;1999;2011;161;191838
2124;1 Ebene;1970;;124;Durchschnitt;Durchschnitt;1015;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;1970;2005;124;92888
280;1 Ebene;1973;;154;Durchschnitt;Durchschnitt;1222;Gut;NeuBerlin_B;2;Keine/Kaum;1973;2007;154;103734
1481;2 Ebenen;2007;;88;Gut;Durchschnitt;1019;Gut;NeuBerlin_B;3;Keine/Kaum;2007;2013;193;209700
863;1 Ebene;2010;;158;Gut;Durchschnitt;1017;Gut;NeuBerlin_A;4;Keine/Kaum;2010;2011;158;220674
1178;2 Ebenen;1926;;99;Durchschnitt;Durchschnitt;2139;Durchschnitt;NeuBerlin_C;4;Keine/Kaum;2007;2012;146;189764
355;2 Ebenen;1987;;110;Gut;Durchschnitt;508;Gut;NeuBerlin_A;1;Keine/Kaum;1987;2007;194;131651
1014;1 Ebene;1965;;87;Durchschnitt;Durchschnitt;680;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;1965;2008;87;87429
820;1,5 Ebenen;1980;;121;Durchschnitt;Durchschnitt;1013;;NeuBerlin_B;1;Keine/Kaum;1980;2012;161;106981
23;2,5 Ebenen;1895;;141;Gut;Gut;2299;Durchschnitt;NeuBerlin_C;5;Keine/Kaum;1996;2005;335;268218
2134;1 Ebene;1991;;174;Durchschnitt;Durchschnitt;1046;Gut;NeuBerlin_B;3;Keine/Kaum;1991;2006;174;144550
1491;1,5 Ebenen;1965;;100;Durchschnitt;Durchschnitt;986;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1984;2006;161;95169
2517;1 Ebene;1965;;91;Durchschnitt;Durchschnitt;980;Durchschnitt;NeuBerlin_C;4;Keine/Kaum;1965;2012;91;93396
1247;2 Ebenen;2007;;77;Gut;Durchschnitt;1197;Gut;NeuBerlin_B;5;Keine/Kaum;2007;2013;154;162900
1238;1 Ebene;1960;;99;Durchschnitt;Durchschnitt;658;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1983;2008;99;94154
302;1 Ebene;2002;;124;Durchschnitt;Durchschnitt;1191;Gut;NeuBerlin_B;5;Keine/Kaum;2002;2013;124;149850
2512;1,5 Ebenen;1943;;91;Durchschnitt;Durchschnitt;1251;Gut;NeuBerlin_B;4;Keine/Kaum;1988;2010;162;120905
1645;1 Ebene;1973;;206;Gut;Gut;1588;Durchschnitt;NeuBerlin_B;1;Mittel;1973;2008;206;180238
2637;1 Ebene;1923;;95;Gut;Durchschnitt;548;Durchschnitt;NeuBerlin_C;3;Keine/Kaum;2009;2009;95;66725
962;2 Ebenen;1975;;44;Durchschnitt;Durchschnitt;173;Durchschnitt;NeuBerlin_B;4;Keine/Kaum;2010;2012;91;100188
1144;1,5 Ebenen;1943;;70;Durchschnitt;Durchschnitt;609;Schlecht;NeuBerlin_B;1;Keine/Kaum;2009;2009;101;66725
627;2 Ebenen;2002;;70;Durchschnitt;Durchschnitt;236;Gut;NeuBerlin_A;1;Keine/Kaum;2002;2007;139;111982
338;1 Ebene;1970;;151;Durchschnitt;Durchschnitt;2505;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;1970;2008;151;96172
297;2 Ebenen;1923;;87;Durchschnitt;Durchschnitt;2181;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;1953;2005;144;110110
2133;2 Ebenen;2001;Familienverkauf;86;Durchschnitt;Durchschnitt;1120;Gut;NeuBerlin_A;5;Keine/Kaum;2001;2010;151;138285
2338;1 Ebene;1957;;77;Durchschnitt;Gut;543;Durchschnitt;NeuBerlin_C;3;Keine/Kaum;2003;2005;77;66066
402;2 Ebenen;1913;;57;Durchschnitt;Durchschnitt;460;Durchschnitt;NeuBerlin_C;3;Keine/Kaum;1953;2008;114;76668
63;1 Ebene;1962;;158;Durchschnitt;Durchschnitt;1062;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1962;2013;158;148950
1490;1 Ebene;2002;;140;Gut;Durchschnitt;1581;Gut;NeuBerlin_B;2;Keine/Kaum;2003;2012;140;186792
1968;2 Ebenen;1977;;143;Durchschnitt;Durchschnitt;1089;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;2000;2010;243;181357
2464;1,5 Ebenen;1957;;91;Durchschnitt;Durchschnitt;646;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1957;2010;91;85011
1092;1 Ebene;1930;;70;Durchschnitt;Durchschnitt;927;Schlecht;NeuBerlin_C;3;Keine/Kaum;1953;2013;70;76500
1853;2 Ebenen;2006;;97;Gut;Durchschnitt;944;Sehr gut;NeuBerlin_A;5;Keine/Kaum;2007;2010;185;188914
1683;2 Ebenen;1981;;79;Gut;Durchschnitt;244;Gut;NeuBerlin_B;2;Keine/Kaum;1981;2011;135;110537
1225;1,5 Ebenen;1931;Familienverkauf;96;Durchschnitt;Durchschnitt;626;Durchschnitt;NeuBerlin_C;1;Keine/Kaum;1953;2006;146;89184
1495;1 Ebene;1927;;120;Durchschnitt;Durchschnitt;489;Durchschnitt;NeuBerlin_C;5;Keine/Kaum;2002;2013;120;93600
1625;1 Ebene;2005;;134;Gut;Durchschnitt;1082;Gut;NeuBerlin_B;5;Keine/Kaum;2004;2011;134;162602
833;1 Ebene;1959;;157;Durchschnitt;Durchschnitt;991;Durchschnitt;NeuBerlin_A;4;Keine/Kaum;1959;2011;157;102127
2180;1 Ebene;2006;;144;Gut;Durchschnitt;327;Gut;NeuBerlin_B;4;Keine/Kaum;2007;2006;144;140061
2317;1 Ebene;2005;;131;Gut;Durchschnitt;1293;Gut;NeuBerlin_B;1;Keine/Kaum;2005;2008;131;164770
941;1 Ebene;2004;;112;Gut;Durchschnitt;917;Gut;NeuBerlin_B;4;Keine/Kaum;2004;2012;112;151132
94;2 Ebenen;2002;;64;Gut;Durchschnitt;264;Gut;NeuBerlin_A;1;Keine/Kaum;2002;2013;131;139500
1072;1 Ebene;1965;;110;Durchschnitt;Durchschnitt;2619;Durchschnitt;NeuBerlin_B;4;Keine/Kaum;1965;2013;110;142110
1522;1,5 Ebenen;1956;;113;Durchschnitt;Durchschnitt;1212;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;2007;2008;160;104915
371;1 Ebene;1960;;85;Durchschnitt;Durchschnitt;984;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1960;2007;85;73597
2217;2 Ebenen;1971;;66;Durchschnitt;Gut;1127;Durchschnitt;NeuBerlin_C;5;Keine/Kaum;1971;2013;133;146700
1971;1 Ebene;1971;;83;Durchschnitt;Durchschnitt;872;Durchschnitt;NeuBerlin_C;3;Keine/Kaum;1971;2008;83;77341
631;1 Ebene;1977;;102;Durchschnitt;Durchschnitt;1006;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;1977;2005;102;87524
2524;1,5 Ebenen;1942;;73;Durchschnitt;Durchschnitt;783;Gut;NeuBerlin_C;5;Keine/Kaum;1953;2005;103;67704
1007;1 Ebene;2007;;99;Durchschnitt;Durchschnitt;559;Gut;NeuBerlin_C;2;Keine/Kaum;2007;2006;99;93972
991;1 Ebene;1943;;92;Durchschnitt;Durchschnitt;1396;Durchschnitt;NeuBerlin_A;2;Keine/Kaum;1972;2010;92;81610
1062;2 Ebenen;1988;;90;Gut;Durchschnitt;925;Gut;NeuBerlin_B;1;Keine/Kaum;1988;2013;161;160200
2321;1,5 Ebenen;1923;;64;Durchschnitt;Gut;756;Durchschnitt;NeuBerlin_B;5;Keine/Kaum;1953;2013;104;61560
520;1 Ebene;1957;;225;Durchschnitt;Gut;1271;Gut;NeuBerlin_C;5;Keine/Kaum;1997;2007;225;161788
851;1 Ebene;1924;;57;Durchschnitt;Durchschnitt;607;Durchschnitt;NeuBerlin_C;4;Keine/Kaum;1953;2006;57;53271
2241;2 Ebenen;1972;;61;Durchschnitt;Durchschnitt;941;Durchschnitt;NeuBerlin_C;2;Keine/Kaum;1972;2013;125;142200
2462;1 Ebene;2008;;186;Sehr gut;Durchschnitt;1835;Sehr gut;NeuBerlin_A;1;Keine/Kaum;2008;2006;186;281319
1907;2 Ebenen;1998;;72;Durchschnitt;Durchschnitt;1307;Gut;NeuBerlin_A;4;Keine/Kaum;1998;2006;155;101753
305;1 Ebene;2005;;140;Gut;Durchschnitt;296;Gut;NeuBerlin_B;3;Keine/Kaum;2005;2005;140;139468
998;2 Ebenen;2007;;79;Gut;Durchschnitt;1173;Gut;NeuBerlin_B;1;Keine/Kaum;2007;2006;159;117615
2138;1 Ebene;1996;;159;Gut;Durchschnitt;1091;Gut;NeuBerlin_C;1;Keine/Kaum;1996;2009;159;180159
1558;1 Ebene;1973;;82;Durchschnitt;Durchschnitt;846;Durchschnitt;NeuBerlin_B;4;Keine/Kaum;1973;2013;82;113400
686;1 Ebene;1963;;145;Durchschnitt;Schlecht;2551;Durchschnitt;NeuBerlin_B;5;Keine/Kaum;1963;2007;145;127527
443;2 Ebenen;2006;Familienverkauf;78;Gut;Durchschnitt;1242;Gut;NeuBerlin_A;2;Keine/Kaum;2006;2007;161;142754
1004;1,5 Ebenen;1913;;91;Durchschnitt;Durchschnitt;1083;Schlecht;NeuBerlin_C;3;Keine/Kaum;1953;2005;163;45173
2086;2 Ebenen;2008;;68;Gut;Durchschnitt;866;Gut;NeuBerlin_B;2;Keine/Kaum;2008;2012;137;147311
482;1 Ebene;2010;;150;Gut;Durchschnitt;1298;Sehr gut;NeuBerlin_A;2;Keine/Kaum;2011;2011;150;252714
909;1 Ebene;1964;;146;Durchschnitt;Durchschnitt;1155;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;1964;2011;146;139773
2126;1 Ebene;1998;;140;Gut;Durchschnitt;1146;Gut;NeuBerlin_B;1;Keine/Kaum;1998;2009;140;125110
2401;1 Ebene;1966;;93;Durchschnitt;Durchschnitt;1307;Gut;NeuBerlin_C;2;Mittel;1966;2005;93;92606
1378;1 Ebene;1967;;113;Durchschnitt;Durchschnitt;1092;;NeuBerlin_B;5;Keine/Kaum;1967;2008;113;69270
1749;1 Ebene;1967;;140;Durchschnitt;Durchschnitt;1001;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;1967;2012;140;141792
1581;1 Ebene;1961;;98;Durchschnitt;Durchschnitt;824;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;1995;2008;98;93481
415;2 Ebenen;2007;;55;Gut;Durchschnitt;259;Gut;NeuBerlin_A;2;Keine/Kaum;2008;2013;111;134550
1085;1 Ebene;1963;;89;Durchschnitt;Gut;1280;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;2001;2007;89;96121
1733;2 Ebenen;2002;;89;Durchschnitt;Durchschnitt;752;Gut;NeuBerlin_A;2;Keine/Kaum;2006;2007;213;129430
1991;1 Ebene;1963;;117;Durchschnitt;Durchschnitt;936;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1963;2013;117;150750
545;1 Ebene;1963;;116;Durchschnitt;Durchschnitt;1098;Durchschnitt;NeuBerlin_B;4;Keine/Kaum;1963;2010;116;118638
675;2 Ebenen;2009;;103;Gut;Durchschnitt;813;Gut;NeuBerlin_A;4;Keine/Kaum;2010;2011;144;193040
126;1 Ebene;1961;;87;Durchschnitt;Durchschnitt;1152;;NeuBerlin_A;2;Keine/Kaum;1997;2007;87;50757
1414;1 Ebene;1962;;89;Durchschnitt;Durchschnitt;647;Durchschnitt;NeuBerlin_A;4;Keine/Kaum;2003;2008;89;88606
1574;1 Ebene;1991;;94;Durchschnitt;Durchschnitt;395;Gut;NeuBerlin_B;5;Mittel;1991;2008;94;134506
762;1 Ebene;1975;;74;Durchschnitt;Durchschnitt;769;Gut;NeuBerlin_B;1;Keine/Kaum;1975;2012;74;111990
2153;1 Ebene;1981;;103;Durchschnitt;Gut;916;Gut;NeuBerlin_B;1;Keine/Kaum;1981;2011;103;132564
2336;2 Ebenen;1999;;121;Gut;Durchschnitt;1406;Sehr gut;NeuBerlin_C;5;Mittel;2000;2013;210;295200
967;1 Ebene;1962;;133;Durchschnitt;Durchschnitt;987;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;2001;2010;133;139796
157;1 Ebene;1976;;206;Durchschnitt;Gut;1372;Gut;NeuBerlin_B;5;Keine/Kaum;1976;2007;206;154809
542;1 Ebene;1941;;75;Durchschnitt;Durchschnitt;889;Durchschnitt;NeuBerlin_A;4;Mittel;1961;2011;75;80099
1843;1 Ebene;2008;;99;Durchschnitt;Durchschnitt;371;Gut;NeuBerlin_A;1;Keine/Kaum;2008;2008;99;94154
1311;1 Ebene;1944;;64;Durchschnitt;Durchschnitt;414;Durchschnitt;NeuBerlin_C;2;Mittel;1953;2006;64;31423
2431;2 Ebenen;1969;;90;Durchschnitt;Durchschnitt;1227;Durchschnitt;NeuBerlin_C;4;Keine/Kaum;2010;2007;194;118962
1639;1 Ebene;2005;;149;Gut;Durchschnitt;1169;Gut;NeuBerlin_B;3;Keine/Kaum;2005;2011;149;200249
1779;1 Ebene;1926;;90;Gut;Durchschnitt;856;Durchschnitt;NeuBerlin_C;4;Keine/Kaum;2009;2007;90;63446
1992;1,5 Ebenen;1923;Familienverkauf;97;Schlecht;Durchschnitt;546;Durchschnitt;NeuBerlin_C;1;Keine/Kaum;1953;2011;137;95318
809;2 Ebenen;1908;;82;Gut;Durchschnitt;604;Schlecht;NeuBerlin_C;1;Keine/Kaum;2008;2010;143;97782
33;1 Ebene;2008;;160;Gut;Durchschnitt;926;Gut;NeuBerlin_A;1;Keine/Kaum;2008;2007;160;147638
2184;1 Ebene;1962;;111;Durchschnitt;Durchschnitt;898;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1962;2006;111;95468
95;1,5 Ebenen;1944;;77;Durchschnitt;Gut;504;Durchschnitt;NeuBerlin_C;2;Keine/Kaum;2009;2010;112;93701
8;2 Ebenen;1996;;85;Gut;Durchschnitt;1162;Gut;NeuBerlin_B;2;Keine/Kaum;2000;2007;169;121658
1114;1 Ebene;1964;;133;Durchschnitt;Durchschnitt;969;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1993;2005;133;90912
2397;1 Ebene;1989;;109;Durchschnitt;Gut;1363;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1989;2012;184;176603
2166;1 Ebene;1981;;133;Durchschnitt;Durchschnitt;1619;Gut;NeuBerlin_C;2;Keine/Kaum;1981;2007;133;123086
2643;2,5 Ebenen;1901;;99;Durchschnitt;Durchschnitt;816;Durchschnitt;NeuBerlin_C;5;Keine/Kaum;1968;2012;198;89999
901;1 Ebene;1956;;151;Durchschnitt;Durchschnitt;2272;Durchschnitt;NeuBerlin_A;3;Keine/Kaum;1956;2008;151;87429
787;1 Ebene;2010;;114;Gut;Durchschnitt;1111;Sehr gut;NeuBerlin_B;4;Keine/Kaum;2010;2009;114;100032
2450;1,5 Ebenen;1928;;78;Durchschnitt;Durchschnitt;968;Durchschnitt;NeuBerlin_C;3;Keine/Kaum;1997;2008;136;84066
1468;1 Ebene;1971;;98;Durchschnitt;Durchschnitt;847;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1971;2013;98;127800
837;1 Ebene;2002;;124;Gut;Durchschnitt;587;Gut;NeuBerlin_B;4;Keine/Kaum;2002;2013;124;165600
2204;1 Ebene;2008;;178;Gut;Durchschnitt;1418;Sehr gut;NeuBerlin_A;1;Keine/Kaum;2009;2008;178;253830
422;1 Ebene;1979;;190;Durchschnitt;Durchschnitt;1282;Durchschnitt;NeuBerlin_B;4;Keine/Kaum;1979;2013;190;153000
2420;2 Ebenen;2001;;107;Gut;Durchschnitt;1142;Gut;NeuBerlin_B;4;Keine/Kaum;2002;2010;188;168133
2220;2 Ebenen;2002;;81;Durchschnitt;Durchschnitt;843;Gut;NeuBerlin_A;4;Keine/Kaum;2002;2010;153;140476
2087;1 Ebene;2009;;154;Gut;Durchschnitt;1069;Gut;NeuBerlin_A;3;Keine/Kaum;2010;2012;154;247075
234;1 Ebene;1929;;91;Durchschnitt;Durchschnitt;625;Durchschnitt;NeuBerlin_C;4;Keine/Kaum;1953;2008;91;68598
1985;1 Ebene;2009;;146;Gut;Durchschnitt;1328;Sehr gut;NeuBerlin_A;2;Keine/Kaum;2009;2009;146;133451
1550;1 Ebene;1951;;100;Durchschnitt;Durchschnitt;1173;Durchschnitt;NeuBerlin_B;4;Keine/Kaum;1953;2007;100;75628
2067;1 Ebene;1966;;136;Durchschnitt;Durchschnitt;1295;Gut;NeuBerlin_C;5;Keine/Kaum;2002;2012;136;148584
2560;1 Ebene;2010;;154;Gut;Durchschnitt;1068;Gut;NeuBerlin_A;4;Keine/Kaum;2010;2010;154;193448
1666;1 Ebene;1958;;89;Durchschnitt;Durchschnitt;978;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;1958;2011;89;97721
92;1 Ebene;1980;;155;Durchschnitt;Schlecht;3401;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1997;2007;155;124355
822;2 Ebenen;2006;;74;Gut;Durchschnitt;901;Gut;NeuBerlin_A;1;Keine/Kaum;2006;2012;138;163018
602;1 Ebene;1950;;61;Durchschnitt;Durchschnitt;903;;NeuBerlin_C;2;Keine/Kaum;1953;2012;61;54254
1689;2,5 Ebenen;1938;;170;Durchschnitt;Durchschnitt;1981;Durchschnitt;NeuBerlin_A;4;Keine/Kaum;1993;2005;341;234338
2533;1 Ebene;1982;;165;Gut;Durchschnitt;1453;Gut;NeuBerlin_B;4;Keine/Kaum;1982;2009;165;122330
1384;1 Ebene;2005;;85;Durchschnitt;Durchschnitt;813;Gut;NeuBerlin_A;3;Keine/Kaum;2005;2005;85;66207
899;2 Ebenen;1914;;95;Durchschnitt;Durchschnitt;861;Durchschnitt;NeuBerlin_C;5;Keine/Kaum;1953;2009;182;72285
1889;2 Ebenen;1976;;48;Durchschnitt;Durchschnitt;227;Durchschnitt;NeuBerlin_B;4;Keine/Kaum;1976;2007;101;72011
2383;1 Ebene;2008;;99;Durchschnitt;Durchschnitt;368;Gut;NeuBerlin_A;2;Keine/Kaum;2008;2010;99;111837
2307;1 Ebene;1968;;112;Durchschnitt;Durchschnitt;922;Durchschnitt;NeuBerlin_A;3;Keine/Kaum;1968;2007;112;88825
2603;1 Ebene;1959;;95;Durchschnitt;Gut;1056;Durchschnitt;NeuBerlin_B;5;Keine/Kaum;1959;2005;95;88935
1253;1 Ebene;1969;;98;Durchschnitt;Durchschnitt;895;Durchschnitt;NeuBerlin_B;5;Keine/Kaum;1969;2006;98;64045
611;2 Ebenen;1952;;93;Durchschnitt;Durchschnitt;633;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1953;2008;186;97517
481;1 Ebene;2008;;126;Gut;Durchschnitt;635;Gut;NeuBerlin_A;2;Keine/Kaum;2009;2008;126;139214
2573;1 Ebene;2005;;178;Gut;Durchschnitt;1134;Gut;NeuBerlin_A;3;Keine/Kaum;2005;2008;178;189654
1184;1 Ebene;1974;;81;Durchschnitt;Gut;699;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;2007;2013;81;117000
1810;2 Ebenen;2006;;92;Gut;Durchschnitt;875;Gut;NeuBerlin_B;1;Keine/Kaum;2006;2008;179;143249
1736;1 Ebene;1957;;83;Durchschnitt;Durchschnitt;952;Durchschnitt;NeuBerlin_A;2;Mittel;1957;2008;83;73978
51;1 Ebene;1954;;103;Durchschnitt;Durchschnitt;1315;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;1954;2012;103;106981
532;1 Ebene;1962;;110;Durchschnitt;Durchschnitt;801;Gut;NeuBerlin_B;5;Keine/Kaum;1962;2011;110;110537
304;2 Ebenen;1978;;79;Durchschnitt;Durchschnitt;233;Durchschnitt;NeuBerlin_B;5;Keine/Kaum;1978;2013;135;134910
369;1 Ebene;1962;;80;Durchschnitt;Durchschnitt;918;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1962;2011;80;102127
35;1,5 Ebenen;1959;;82;Durchschnitt;Durchschnitt;555;Durchschnitt;NeuBerlin_C;5;Keine/Kaum;1959;2007;82;65476
605;1 Ebene;1988;;115;Durchschnitt;Durchschnitt;1039;Gut;NeuBerlin_A;4;Keine/Kaum;1988;2008;115;117020
603;1 Ebene;2005;;155;Gut;Durchschnitt;1126;Gut;NeuBerlin_B;5;Keine/Kaum;2005;2007;155;180822
2419;1 Ebene;2010;;117;Gut;Durchschnitt;325;Gut;NeuBerlin_B;1;Keine/Kaum;2010;2010;117;120825
159;2 Ebenen;2007;;55;Gut;Durchschnitt;322;Gut;NeuBerlin_A;2;Keine/Kaum;2008;2013;111;135900
2118;2 Ebenen;1974;;84;Durchschnitt;Durchschnitt;947;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1974;2013;169;125100
345;1 Ebene;1968;;84;Durchschnitt;Durchschnitt;890;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;2011;2009;84;81738
2147;1 Ebene;1986;;83;Durchschnitt;Durchschnitt;894;Gut;NeuBerlin_B;5;Mittel;1986;2005;83;73971
1128;1 Ebene;1969;;107;Durchschnitt;Durchschnitt;1106;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;1969;2011;107;123353
902;1 Ebene;1923;;64;Durchschnitt;Durchschnitt;541;Schlecht;NeuBerlin_C;5;Keine/Kaum;1953;2008;64;57837
1362;2 Ebenen;1997;;193;Gut;Durchschnitt;1314;Gut;NeuBerlin_A;3;Keine/Kaum;1997;2006;249;161608
1908;1,5 Ebenen;1913;;93;Durchschnitt;Gut;534;Durchschnitt;NeuBerlin_C;1;Keine/Kaum;2006;2005;152;66066
2580;1 Ebene;2009;;144;Gut;Durchschnitt;463;Gut;NeuBerlin_A;3;Keine/Kaum;2009;2008;144;140895
113;1 Ebene;2006;;103;Durchschnitt;Durchschnitt;1252;Gut;NeuBerlin_B;5;Keine/Kaum;2007;2011;103;122552
964;1 Ebene;2005;;167;Gut;Durchschnitt;1440;Sehr gut;NeuBerlin_A;4;Keine/Kaum;2005;2006;167;187047
552;2 Ebenen;1926;;76;Durchschnitt;Durchschnitt;971;Durchschnitt;NeuBerlin_B;5;Keine/Kaum;1953;2010;149;104280
1670;1 Ebene;1961;;211;Durchschnitt;Gut;2004;Durchschnitt;NeuBerlin_A;5;Keine/Kaum;1998;2007;211;163057
1284;1 Ebene;2012;;112;Durchschnitt;Durchschnitt;1046;Gut;NeuBerlin_A;4;Keine/Kaum;2012;2013;112;167400
877;1 Ebene;1964;;104;Durchschnitt;Durchschnitt;698;Durchschnitt;NeuBerlin_C;3;Keine/Kaum;1964;2008;104;86756
584;1 Ebene;1972;;90;Durchschnitt;Durchschnitt;999;Gut;NeuBerlin_B;4;Keine/Kaum;1972;2006;90;76913
147;2,5 Ebenen;1917;;133;Schlecht;Durchschnitt;1096;Durchschnitt;NeuBerlin_C;3;Keine/Kaum;1998;2007;315;126892
2367;1 Ebene;1987;;93;Durchschnitt;Durchschnitt;799;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;1987;2006;93;85293
2249;1 Ebene;2007;;138;Gut;Durchschnitt;846;Gut;NeuBerlin_B;5;Keine/Kaum;2008;2013;138;191700
2161;1 Ebene;1961;;109;Durchschnitt;Durchschnitt;1380;Durchschnitt;NeuBerlin_C;3;Keine/Kaum;2001;2007;109;86921
275;1 Ebene;1964;;107;Durchschnitt;Durchschnitt;1182;Durchschnitt;NeuBerlin_C;2;Keine/Kaum;1998;2013;107;133200
1434;1 Ebene;1957;;93;Durchschnitt;Durchschnitt;1143;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1957;2006;93;82001
363;1 Ebene;1984;;133;Gut;Gut;1259;Gut;NeuBerlin_B;2;Keine/Kaum;1984;2008;133;123006
2169;1 Ebene;1983;;96;Gut;Durchschnitt;373;Gut;NeuBerlin_C;3;Keine/Kaum;1983;2006;96;112527
2475;1,5 Ebenen;1942;;56;Durchschnitt;Durchschnitt;608;Durchschnitt;NeuBerlin_C;3;Keine/Kaum;1953;2013;105;120600
1660;1,5 Ebenen;1949;;84;Durchschnitt;Durchschnitt;901;Durchschnitt;NeuBerlin_C;1;Keine/Kaum;1953;2009;139;77846
455;1,5 Ebenen;1942;;76;Durchschnitt;Schlecht;609;Durchschnitt;NeuBerlin_C;2;Keine/Kaum;1953;2011;131;106132
2033;1 Ebene;1969;;112;Durchschnitt;Durchschnitt;996;Gut;NeuBerlin_B;5;Keine/Kaum;1969;2013;112;143100
516;1 Ebene;2010;;122;Gut;Durchschnitt;509;Gut;NeuBerlin_A;5;Keine/Kaum;2011;2011;122;184229
361;1 Ebene;1970;;147;Durchschnitt;Durchschnitt;894;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1970;2005;147;67195
1845;2 Ebenen;1923;;55;Durchschnitt;Durchschnitt;648;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1953;2012;110;66226
1959;2 Ebenen;2000;;84;Durchschnitt;Gut;942;Gut;NeuBerlin_B;4;Keine/Kaum;2000;2007;166;129906
620;2 Ebenen;1977;;108;Durchschnitt;Durchschnitt;969;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1977;2011;191;134967
2422;2 Ebenen;2010;;88;Sehr gut;Durchschnitt;895;Gut;NeuBerlin_A;3;Keine/Kaum;2010;2009;194;139012
1286;1 Ebene;1951;;80;Durchschnitt;Durchschnitt;1016;;NeuBerlin_C;5;Keine/Kaum;1953;2009;80;49988
